title,description,url,icon_url
Healthcare,"making sure patients, visitors and staff are safe and healthy.",https://www.inprocorp.com/markets/healthcare/,https://www.inprocorp.com/globalassets/icons/updated-icons/icon-healthcare-test-test.svg
education,obsessed with protecting your education environment.,https://www.inprocorp.com/markets/education/,https://www.inprocorp.com/globalassets/icons/updated-icons/icon-education2.svg
Commercial,obsessed with protecting your commercial space.,https://www.inprocorp.com/markets/commercial/,https://www.inprocorp.com/globalassets/icons/updated-icons/icon-building2.svg
Hospitality,Make a Difference Inside™ your Hospitality Spaces with Inpro!,https://www.inprocorp.com/markets/hospitality/,https://www.inprocorp.com/globalassets/icons/updated-icons/icon-hospitality2.svg
Retail + Restaurant,obsessive about protecting your business.,https://www.inprocorp.com/markets/retail-and-restaurant/,https://www.inprocorp.com/globalassets/icons/updated-icons/icon-retail-restaurant2.svg
Senior Living,making sure residents and staff are safe and healthy.,https://www.inprocorp.com/markets/senior-living/,https://www.inprocorp.com/globalassets/icons/updated-icons/icon-senior-living2.svg
Stadiums,score a victory in creating a great fan experience.,https://www.inprocorp.com/markets/stadiums/,https://www.inprocorp.com/globalassets/icons/updated-icons/icon-stadiums2.svg
Airports,"protecting airport interiors + exteriors from traffic, equipment + mother nature.",https://www.inprocorp.com/markets/airports/,https://www.inprocorp.com/globalassets/icons/updated-icons/icon-airports2.svg
Government,obsessed with protecting your government spaces.,https://www.inprocorp.com/markets/government/,https://www.inprocorp.com/globalassets/icons/updated-icons/icon-government2.svg
Multifamily,Make a Difference Inside™ your Multifamily Spaces with Inpro!,https://www.inprocorp.com/markets/multifamily/,https://www.inprocorp.com/globalassets/icons/updated-icons/icon---multifamily-buildings.svg
